form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21,C00612432,B-921271,,,CCM,Ana Maria Rodriguez for State Senate,,,,,,2600 Douglas Road,,Coral Gables,FL,33134,P2022,,2021-01-26,1000.00,1000.00,State Political Contribution,011,,,,Rodriguez,Ana Maria,,,,,FL,,,,,,,,,
SB21,C00612432,B-766894,,,CCM,Friends of Mike Lee Inc,,,,,,PO Box 1537,,Salt Lake City,UT,84110,P2022,,2021-02-16,2000.00,4000.00,Political Contribution,011,C00473827,Friends of Mike Lee Inc,S0UT00165,Lee,Mike,,,,S,UT,00,,,,,,,,
SB21,C00612432,B-766900,,,CCM,Friends of Mike Lee Inc,,,,,,PO Box 1537,,Salt Lake City,UT,84110,G2022,,2021-02-16,2000.00,4000.00,Political Contribution,011,C00473827,Friends of Mike Lee Inc,S0UT00165,Lee,Mike,,,,S,UT,00,,,,,,,,
SB21,C00612432,B-921272,,,CCM,Ileana Garcia for State Senate,,,,,,2525 Ponce de Leon,,Coral Gables,FL,33134,P2022,,2021-01-26,1000.00,1000.00,State Political Contribution,011,,,,Garcia,Ileana,,,,,FL,,,,,,,,,
SB21,C00612432,B-921274,,,CCM,Jason Brodeur for State Senate,,,,,,PO Box 471,,Sanford,FL,32772,P2022,,2021-01-26,1000.00,1000.00,State Political Contribution,011,,,,Brodeur,Jason,,,,,FL,,,,,,,,,
SB21,C00612432,B-921273,,,CCM,Manny Diaz for State Senate,,,,,,17642 Northwest 87th Place,,Hialeah,FL,33018,P2022,,2021-01-26,1000.00,1000.00,State Political Contribution,011,,,,Diaz,Manny,,,,,FL,,,,,,,,,
SB21,C00612432,B-766911,,,ORG,New York Young Republican Club Inc.,,,,,,PO BOX 1277,,New York,NY,10163,P2022,,2021-02-18,5000.00,null,Charitable Contribution,012,,,,,,,,,,,,,,,,,,,
SB21,C00612432,B-766896,,,CCM,Rand Paul for US Senate,,,,,,PO Box 72928,,Newport,KY,41072,P2022,,2021-02-16,2000.00,4000.00,Political Contribution,011,C00496075,Rand Paul for US Senate,S0KY00156,Paul,Rand,,,,S,KY,00,,,,,,,,
SB21,C00612432,B-766899,,,CCM,Rand Paul for US Senate,,,,,,PO Box 72928,,Newport,KY,41072,G2022,,2021-02-16,2000.00,4000.00,Political Contribution,011,C00496075,Rand Paul for US Senate,S0KY00156,Paul,Rand,,,,S,KY,00,,,,,,,,
SB21,C00612432,B-921275,,,CCM,Ray Rodrigues for State Senate,,,,,,PO Box 682,,Estero,FL,33929,P2022,,2021-01-26,1000.00,1000.00,State Political Contribution,011,,,,Rodrigues,Ray,,,,,FL,,,,,,,,,
SB21,C00612432,B-766890,,,ORG,Right Direction America,,,,,,PO Box 27289,,Washington,DC,20038,P2022,,2021-02-09,100000.00,100000.00,Political Contribution,011,,,,,,,,,,,,,,,,,,,
SB21,C00612432,B-766888,,,PAC,South Walton Republican Club,,,,,,291 Scenic Gulf Drive,,Miramar Beach,FL,32550,P2022,,2021-02-09,10000.00,10000.00,State Political Contribution,011,,,,,,,,,,,,,,,,,,,
