form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB17,C00612432,B-921014,,,ORG,"America Direct, Inc.",,,,,,1272 Corporate Park Drive,2nd Floor,Forest,VA,24551,P2022,,2021-03-31,19685.83,null,Direct Mail,003,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-921155,B-792190,,ORG,American Airlines,,,,,,4333 Amon Center Blvd.,,Fort Worth,TX,76155,P2022,,2021-02-17,165.70,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921170,B-792190,,ORG,American Airlines,,,,,,4333 Amon Center Blvd.,,Fort Worth,TX,76155,P2022,,2021-02-21,542.70,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921173,B-792190,,ORG,American Airlines,,,,,,4333 Amon Center Blvd.,,Fort Worth,TX,76155,P2022,,2021-02-24,564.40,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-921179,B-792190,,ORG,American Airlines,,,,,,4333 Amon Center Blvd.,,Fort Worth,TX,76155,P2022,,2021-02-28,335.70,null,Airfare,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-First Bankcard
SB17,C00612432,B-752886,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-01-05,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-759712,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-01-06,98.44,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-759704,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-01-12,0.54,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-759713,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,P2022,,2021-01-12,61.22,null,E-Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB17,C00612432,B-766818,,,ORG,"Anedot, Inc.",,,,,,1340 Poydras Street,Suite 1770,New Orleans,LA,70112,G2020,,2021-01-14,19.10,null,E-Merchant Fee,001,,,,,,,,,,,,,,,,,,,
